Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6692689850958127,0.4197952218430034,0.6612903225806451,0.5135699373695198,0.737632334795367
Decision Tree,0.6827537260468417,0.42802303262955854,0.5994623655913979,0.49944008958566627,0.7114181209236734
Random Forest,0.7125621007806955,0.46099290780141844,0.5241935483870968,0.49056603773584906,0.7329118321046028
Gradient Boosting,0.7437899219304471,0.52,0.3844086021505376,0.4420401854714065,0.7294589438102053
XGBoost,0.7494677075940384,0.5358490566037736,0.3817204301075269,0.44583987441130296,0.7328625791934965
